,Name der Klinik,Ort,Straße und Hausnummer,PLZ,Geburten gesamt 2022,Anzahl Kaiserschnitte 2022,Kaiserschnitt % 2022,IK,Standortnummer,Latitude,Longitude
387,Klinik Tettnang GmbH,Tettnang,Emil-Münch-Straße  16,88069,906,295,33,260840610,771606000,47.6725075,9.5979089
388,Helios Spital Überlingen GmbH,Überlingen,Härlenweg 1,88662,447,102,23,260840621,772122000,47.7748077,9.1509019
389,St. Elisabethen-Klinikum,Ravensburg,Elisabethenstraße 15,88212,1449,634,44,260840916,773137000,47.7876455,9.6215075
390,Westallgäu-Klinikum,Wangen im Allgäu,Am Engelberg 29,88239,649,140,22,260840949,773107000,47.6941068,9.8444073
391,SRH Krankenhaus Sigmaringen,Sigmaringen,Hohenzollernstrasse 40,72488,683,216,32,260841041,772740000,48.0962031,9.2261244
392,Klinikum Aschaffenburg-Alzenau gemeinnützige GmbH,Aschaffenburg,Am Hasenkopf 1,63739,2327,718,31,260900134,773249000,49.9762408,9.1861109
393,Klinikum Würzburg Mitte gGmbH,Würzburg,Salvatorstr. 7,97074,2214,659,30,260900189,772735000,49.7941802,9.9531971
394,Klinik Hallerwiese-Cnopfsche Kinderklinik,Nürnberg,St.-Johannis-Mühlgasse 19,90419,3281,981,30,260900338,771453000,49.4567681,11.0666508
395,RHÖN-KLINIKUM Campus Bad Neustadt,Bad Neustadt a. d. Saale,Von-Guttenberg-Str.  11,97616,547,147,27,260900407,771125000,50.3227554,10.2343508
396,Helios Klinikum München West,München,Steinerweg 5,81241,1240,366,30,260910090,772207000,48.1444878,11.4542841
397,Klinikum Dritter Orden München-Nymphenburg,München,Menzinger Str. 44,80638,2765,1168,42,260910192,771177000,48.1656655,11.504723
398,Frauenklinik Dr. Geisenhofer,München,Hirschauer Str. 6,80538,2295,1236,54,260910546,772377000,48.1515148,11.5960485
399,RoMed Klinikum Rosenheim,Rosenheim,Ellmaierstraße 23,83022,1782,714,40,260910637,772849000,47.8586585,12.1286902
400,InnKlinikum Altötting,Altötting,Vinzenz-von-Paul-Str. 10,84503,2019,671,33,260910693,772675000,48.2339889,12.6751487
401,Kreisklinik Bad Reichenhall,Bad Reichenhall,Riedelstr. 5,83435,466,138,30,260910933,772271000,47.7280751,12.8717201
402,Helios Amper-Klinikum Dachau,Dachau,Krankenhausstraße 15,85221,708,226,32,260911137,771686000,48.2654866,11.4281485
403,Kreisklinik Ebersberg gemeinnützige GmbH,Ebersberg,Pfarrer-Guggetzer-Straße 3,85560,708,156,22,260911171,771388000,48.0763184,11.9604748
404,Klinikum Landkreis Erding,Erding,Bajuwarenstraße 5,85435,577,186,32,260911239,771151000,48.2954067,11.8978088
405,Klinikum Freising GmbH,Freising,Alois-Steinecker-Straße 18,85354,892,283,32,260911273,772067000,48.4050378,11.7446064
406,Klinikum Fürstenfeldbruck,Fürstenfeldbruck,Dachauer Str. 33,82256,614,155,25,260911295,772387000,48.1808812,11.2593161
407,Klinikum Garmisch-Partenkirchen - Haupthaus,Garmisch-Partenkirchen,Auenstraße 6,82467,1028,381,37,260911320,773617000,47.4833134,11.1283787
408,Klinikum Landsberg am Lech,Landsberg am Lech,Bgm.-Dr.-Hartmann-Str. 50,86899,1323,477,36,260911444,773309000,48.0480389,10.8566236
409,InnKlinikum Altötting und Mühldorf / InnKlinikum Mühldorf,Mühldorf a. Inn,Krankenhausstr. 1,84453,53,53,100,260911707,773372000,48.2426922,12.5300437
410,AMEOS Klinikum St. Elisabeth Neuburg,Neuburg a. d. Donau,Müller-Gnadenegg-Weg 4,86633,865,260,30,260911832,773487000,48.7310408,11.1740615
411,RoMed Klinik Wasserburg,Wasserburg am Inn,Gabersee  1,83512,896,201,22,260912194,772850000,48.0577432,12.2023951
412,Klinikum Starnberg,Starnberg,Oßwaldstr. 1,82319,2940,965,33,260912285,773170000,48.0067375,11.3349898
413,Klinikum Starnberg - Außenstelle Wolfratshausen,Wolfratshausen,Moosbauerweg 5,82515,633,160,25,260912285,773171000,47.9118292,11.4288155
414,Klinikum Traunstein,Traunstein,Cuno-Niggl-Str. 3,83278,1622,573,35,260912434,772274000,47.873791,12.6318425
415,Krankenhaus Schongau,Schongau,Marie-Eberth-Straße 6,86956,516,145,28,260912490,771551000,47.8252581,10.8986654
416,Klinikum Ingolstadt,Ingolstadt,Krumenauerstraße 25,85049,2869,1178,41,260913037,773586000,48.7694308,11.3772507
417,Ilmtalklinik GmbH Pfaffenhofen,Pfaffenhofen,Krankenhausstraße 70,85276,832,272,33,260913117,772983000,48.5180908,11.4991655
418,Klinikum rechts der Isar der Technischen Universität München - Stammgelände,München,Ismaninger Straße 22,81675,1762,549,31,260913195,772053000,48.1360725,11.5994937
419,"München Klinik Schwabing, München Klinik gGmbH",München,Kölner Platz 1,80804,2455,794,32,260913446,771085000,48.1719298,11.5783492
420,"München Klinik Neuperlach, München Klinik gGmbH",München,Oskar-Maria-Graf-Ring 51,81737,1341,191,14,260913468,771084000,48.0944364,11.6561055
421,"München Klinik Harlaching, München Klinik gGmbH",München,Sanatoriumsplatz 2,81545,2332,726,31,260913479,771083000,48.0856455,11.5572092
422,Krankenhaus Agatharied,Hausham,Norbert-Kerkel-Platz 1,83734,1392,425,31,260913798,773438000,47.769103,11.8269747
423,Standort Innenstadt,München,Ziemssenstr. 5,80336,2259,552,24,260914050,771734000,48.1327875,11.5615957
424,Campus Großhadern,München,Marchioninistraße 15,81377,1531,513,34,260914050,771736000,48.1107056,11.4693622
425,Rotkreuzklinikum München gGmbH,München,Nymphenburger Straße 163,80634,3027,1251,41,260914492,771813000,48.1541708,11.5326594
426,"Kliniken im Naturpark Altmühltal A.d.ö.R., Klinik Kösching",Kösching,Krankenhausstr. 19,85092,478,174,36,260914868,771577000,48.8150471,11.5069175
427,Klinikum Landshut gGmbH,Landshut,Robert-Koch-Straße 1,84034,789,228,29,260920014,773514000,48.5376922,12.1374237
428,Krankenhaus Landshut-Achdorf,Landshut,Achdorfer Weg 3,84036,2030,851,42,260920025,772546000,48.5233443,12.149907
429,Klinikum Passau,Passau,Innstraße 76,94032,2295,710,31,260920069,772859000,48.5650356,13.4453357
430,Klinikum St. Elisabeth Straubing GmbH,Straubing,St.-Elisabeth-Str. 23,94315,710,230,32,260920092,771254000,48.8864296,12.5909968
431,DONAUISAR Klinikum Deggendorf,Deggendorf,Perlasberger Str. 41,94469,1904,576,30,260920127,772414000,48.8391963,12.9698983
432,DONAUISAR Klinikum Dingolfing,Dingolfing,Teisbacher Str. 1,84130,412,142,34,260920172,772415000,48.6217338,12.4898451
433,Caritas-Krankenhaus St. Lukas GmbH (bis 31.05.2022 Goldberg-Klinik Kelheim GmbH),Kelheim,Traubenweg 3,93309,582,211,36,260920285,772085000,48.9239405,11.8860668
434,Krankenhaus Vilsbiburg,Vilsbiburg,Krankenhausstraße 2,84137,465,156,34,260920387,772548000,48.4449248,12.360079
435,Arberlandklinik Zwiesel,Zwiesel,Arberlandstraße 1,94227,395,131,33,260920617,771187000,49.0072976,13.2183653
436,Rottal-Inn Klinik Standort Eggenfelden,Eggenfelden,Simonsöder Allee 20,84307,680,252,37,260920639,771269000,48.4133097,12.7600363
437,Krankenhaus Freyung,Freyung,Krankenhausstraße 6,94078,480,179,37,260921231,771713000,48.8054935,13.5458475
438,Klinikum St. Marien Amberg,Amberg,Mariahilfbergweg 7,92224,1467,573,39,260930016,772510000,49.4478642,11.8669538
439,Krankenhaus Barmherzige Brüder Regensburg,Regensburg,Prüfeninger Str. 86,93049,3396,1028,30,260930050,771597000,49.0158519,12.064153
440,Caritas-Krankenhaus St. Josef,Regensburg,Landshuter Straße 65,93053,1265,358,28,260930061,771144000,49.0068225,12.1191726
441,Kliniken Nordoberpfalz AG - Weiden,Weiden i. d. OPf.,Söllnerstraße 16,92637,1616,679,42,260930129,771930000,49.6810074,12.1664352
442,St. Anna Krankenhaus,Sulzbach-Rosenberg,Krankenhausstr. 16,92237,573,188,33,260930163,773646000,49.5046499,11.7295457
443,Klinikum Neumarkt,Neumarkt,Nürnberger Straße 12,92318,1003,336,33,260930301,771096000,49.2862589,11.4523605
444,Krankenhaus St. Barbara,Schwandorf,Steinberger Straße 24,92421,672,133,20,260930492,771113000,49.3161353,12.1140235
445,Kliniken Nordoberpfalz AG - Tirschenreuth,Tirschenreuth,St.-Peter-Str. 31,95643,290,143,49,260930528,771933000,49.8852041,12.3320245
446,Sana Kliniken des Landkreises Cham - Krankenhaus Cham,Cham,August-Holz-Str. 1,93413,710,218,31,260930799,772430000,49.2248511,12.6598306
447,Klinikum Bamberg - Betriebsstätte am Bruderwald,Bamberg,Buger Straße 80,96049,2039,562,28,260940029,771420000,49.8671849,10.8905602
448,Klinik Hohe Warte,Bayreuth,Hohe Warte 8,95445,Datenschutz,Datenschutz,Datenschutz,260940109,772661000,49.9685075,11.5859571
449,Klinikum Bayreuth,Bayreuth,Preuschwitzer Straße 101,95445,1315,393,30,260940109,772810000,49.9436118,11.5323659
450,Klinikum Coburg GmbH,Coburg,Ketschendorfer Straße 33,96450,794,268,34,260940154,771718000,50.2468801,10.973119
451,Sana Klinikum Hof,Hof,Eppenreuther Str. 9,95032,658,212,32,260940198,771124000,50.3026772,11.9154026
452,Klinikum Forchheim Fränkische Schweiz gGmbH Standort Forchheim,Forchheim,Krankenhausstraße 10,91301,568,158,28,260940358,771246000,49.7133072,11.0793153
453,Helios Frankenwaldklinik Kronach,Kronach,Friesener Straße 41,96317,471,189,40,260940416,771070000,50.2438042,11.3323544
454,Klinikum Kulmbach,Kulmbach,Albert-Schweitzer-Straße 10,95326,744,236,32,260940449,771090000,50.1181109,11.466522
455,REGIOMED Klinikum Lichtenfels,Lichtenfels,Professor-Arneth-Straße 2,96215,522,184,35,260940483,771719000,50.1364421,11.2581072
456,Kommunalunternehmen Klinikum Fichtelgebirge - Haus Marktredwitz,Marktredwitz,Schillerhain 1-8,95615,390,149,38,260940520,771308000,50.0018257,12.0662375
457,ANregiomed Klinik Rothenburg,Rothenburg,Ansbacher Str. 131,91541,170,70,41,260950011,773459000,49.3776909,10.1997998
458,ANregiomed Klinikum Ansbach,Ansbach,Escherichstraße 1,91522,1189,319,27,260950011,773460000,49.3206271,10.5591221
459,Klinikum Fürth,Fürth,Jakob-Henle-Straße 1,90766,2035,535,26,260950077,771362000,49.4847431,10.9746844
460,Klinikum Nürnberg Süd,Nürnberg,Breslauer Straße 201,90471,3012,875,29,260950099,771375000,49.4130526,11.1469954
461,St. Theresien-Krankenhaus Nürnberg gGmbH,Nürnberg,Mommsenstraße 24,90491,829,192,23,260950113,771452000,49.469291,11.1107344
462,Klinik Neustadt an der Aisch,Neustadt an der Aisch,Paracelsusstr. 30,91413,604,174,29,260950351,771499000,49.5819286,10.6223962
463,Krankenhäuser Nürnberger Land GmbH - Krankenhaus Lauf,Lauf,Simonshofer Straße 55,91207,650,186,29,260950419,771186000,49.5202319,11.2796887
464,Kreisklinik Roth,Roth,Weinbergweg 14,91154,Datenschutz,Datenschutz,Datenschutz,260950486,773078000,49.2356345,11.0721655
465,Universitätsklinikum Erlangen,Erlangen,Maximiliansplatz 2,91054,2524,713,28,260950567,771175000,49.6008509,11.0104406
466,Klinikum Altmühlfranken Weißenburg,Weißenburg,Krankenhausstr. 1,91781,740,246,33,260950727,771357000,49.0342681,10.9847924
467,Aschaffenburg,Aschaffenburg,Ziegelbergstr. 5,63739,872,398,46,260960035,773702000,49.9784899,9.1331113
468,Leopoldina-Krankenhaus der Stadt Schweinfurt GmbH,Schweinfurt,Gustav-Adolf-Str. 6-8,97422,1635,554,34,260960046,771529000,50.0533385,10.2439725
469,Krankenhaus St. Josef,Schweinfurt,Ludwigstraße 1,97421,472,163,35,260960057,771550000,50.0436834,10.225196
470,Universitätsklinikum Würzburg,Würzburg,Oberdürrbacher Straße 6,97080,2117,803,38,260960079,773642000,49.8060767,9.9581188
471,Hassberg-Kliniken Haus Haßfurt,Haßfurt,Hofheimer Str. 69,97437,410,84,20,260960547,771093000,50.0404391,10.5144236
472,Klinik Kitzinger Land,Kitzingen,Keltenstraße 67,97318,393,106,27,260960569,773323000,49.7437984,10.1395039
473,Helios Klinik Erlenbach,Erlenbach am Main,Krankenhausstr. 45,63906,819,234,29,260960649,771578000,49.8109038,9.1658383
474,Universitätsklinikum Augsburg - Medizincampus,Augsburg,Stenglinstr. 2,86156,1958,791,40,260970015,772997000,48.3848965,10.8396834
475,Universitätsklinikum Augsburg - Medizincampus Süd,Augsburg,Sauerbruchstr. 6,86179,533,230,43,260970015,773108000,48.3059503,10.9165982
476,KJF Klinik Josefinum gGmbH,Augsburg,Joseph-Mayer-Straße 1,86154,3366,924,27,260970060,773482000,48.3850833,10.8752299
477,Klinikum Kaufbeuren,Kaufbeuren,Dr.-Gutermann-Straße 2,87600,833,236,28,260970140,773614000,47.8880549,10.610978
478,Klinikverbund Allgäu gGmbH - Klinikum Kempten,Kempten,Robert-Weixler-Straße 50,87439,1881,538,29,260970173,771222000,47.7298671,10.3034465
479,Klinikverbund Allgäu gGmbH - Klinik Immenstadt,Immenstadt,Im Stillen 2-3,87509,648,167,26,260970173,771223000,47.5632037,10.2283577
480,Klinikum Memmingen AöR,Memmingen,Bismarckstraße 23,87700,2178,593,27,260970219,772549000,47.9824646,10.1689987
481,Krankenhaus Friedberg,Friedberg,Herrgottsruhstr. 3,86316,728,165,23,260970242,773009000,48.3561346,10.9857922
482,Wertachklinik Bobingen,Bobingen,Wertachstrasse 55,86399,332,99,30,260970275,771588000,48.2812891,10.822651
483,"Kreiskliniken Günzburg-Krumbach, Klinik Günzburg",Günzburg,Lindenallee 1,89312,655,173,26,260970457,771661000,48.4567007,10.293932
484,Kreisklinik Krumbach,Krumbach,Mindelheimer Straße 69,86381,360,114,32,260970480,771662000,48.237337,10.3662826
485,Asklepios Klinik Lindau,Lindau,Friedrichshafener Straße 82,88131,460,127,28,260970549,771419000,47.5636716,9.6841659
486,Donauklinik Neu-Ulm,Neu-Ulm,Krankenhausstraße 11,89231,1431,295,21,260970630,773273000,48.3940266,9.993967
487,Klinik Füssen,Füssen,Stadtbleiche 1,87629,401,105,26,260970890,773613000,47.5668356,10.7045634
488,Klinikverbund Allgäu gGmbH - Klinik Mindelheim,Mindelheim,Bad Wörishofer Straße 44,87719,630,148,23,260971210,773547000,48.0408635,10.493204
489,Donau-Ries Klinik Donauwörth,Donauwörth,Neudegger Allee 6,86609,562,180,32,260972233,773619000,48.724749,10.7540637
490,Stiftungskrankenhaus Nördlingen,Nördlingen,Stoffelsberg 4,86720,519,152,29,260972233,773620000,48.8366934,10.4996541
491,Klinikum Saarbrücken,Saarbrücken,Winterberg  1,66119,1319,554,42,261000013,771100000,49.2212209,6.994143
492,Klinikum Merzig gGmbH,Merzig,Trierer Straße 148,66663,528,194,37,261000160,773407000,49.4571859,6.6315777
493,Krankenhaus Saarlouis vom DRK,Saarlouis,Vaubanstraße 25,66740,798,241,30,261000320,772610000,49.3136491,6.7442788
494,Marienhaus Klinikum St. Elisabeth Saarlouis,Saarlouis,Kapuziner Straße 4,66740,1079,322,30,261000331,771167000,49.3152364,6.7564872
495,Universitätsklinikum des Saarlandes,Homburg,Kirrberger Straße 100,66421,1456,642,44,261000386,771261000,49.306219,7.3464925
496,Marienhaus Klinikum St. Wendel - Ottweiler,St. Wendel,Am Hirschberg 1,66606,448,138,31,261000422,772400000,49.4541129,7.1785542
497,Marienhausklinik St. Josef Kohlhof,Neunkirchen,Klinikweg 1-5,66539,1378,475,34,261000898,772663000,49.3177556,7.2270153
498,CaritasKlinikum Saarbrücken Standort St. Theresia,Saarbrücken,Rheinstraße 2,66113,1647,572,35,261000934,773075000,49.2486598,6.9597177
499,Evangelisches Waldkrankenhaus Spandau,Berlin,Stadtrandstraße 555,13589,2113,632,30,261100263,771637000,52.5629991,13.1569429
500,"Martin Luther Krankenhaus, Berlin",Berlin,Caspar-Theyß-Straße 27-31,14193,1547,424,27,261100310,772079000,52.4900806,13.2908538
501,Sankt Gertrauden-Krankenhaus GmbH,Berlin,Paretzer Straße 12,10713,572,184,32,261100321,772557000,52.4802288,13.317198
502,Krankenhaus Waldfriede e.V.,Berlin,Argentinische Allee 40,14163,950,294,31,261100456,771653000,52.4444805,13.240098
503,St.Joseph Krankenhaus,Berlin,Wüsthoffstraße 15,12101,3894,1096,28,261100855,771917000,52.4781421,13.3729493
504,Charité - Universitätsmedizin Berlin,Berlin,Charitéplatz 1,10117,1884,772,41,261101015,772563000,52.5258523,13.3777575
505,Hauptstandort,Berlin,Augustenburger Platz 1,13353,Datenschutz,Datenschutz,Datenschutz,261101220,772958000,52.5422251,13.3473481
506,Caritas-Klinik Maria Heimsuchung Berlin-Pankow,Berlin,Breite Straße 46/47,13187,1543,226,15,261101264,772045000,52.571361,13.411153
507,Helios Klinikum Berlin-Buch,Berlin,Schwanebecker Chaussee 50,13125,2878,998,35,261101300,773608000,52.6314106,13.503784
508,Sana Klinikum Lichtenberg,Berlin,Fanningerstraße 32,10365,2511,729,29,261101527,773403000,52.5132845,13.4959012
509,Vivantes Klinikum im Friedrichshain,Berlin,Landsberger Allee 49,10249,3157,885,28,261101878,773179000,52.5255105,13.4393691
510,Vivantes Klinikum Am Urban,Berlin,Dieffenbachstraße  1,10967,1286,232,18,261101878,773181000,52.4939186,13.4086236
511,Vivantes Klinikum Kaulsdorf,Berlin,Myslowitzer Straße 45,12621,839,181,22,261101878,773182000,52.5067558,13.5938102
512,Vivantes Klinikum Neukölln,Berlin,Rudower Straße 48,12351,2671,994,37,261101878,773183000,52.4372244,13.4592239
513,Vivantes Auguste-Viktoria-Klinikum,Berlin,Rubensstraße 125,12157,1753,397,23,261101878,773184000,52.4624325,13.3463907
514,Vivantes Humboldt-Klinikum,Berlin,Am Nordgraben  2,13509,788,198,25,261101878,773186000,52.589759,13.3077559
515,Gemeinschaftskrankenhaus Havelhöhe,Berlin,Kladower Damm 221,14089,1226,257,21,261110049,772788000,52.4622327,13.1639917
516,Evangelisches Krankenhaus Ludwigsfelde Teltow,Ludwigsfelde,Albert-Schweitzer-Straße 40 - 44,14974,446,123,28,261200071,772949000,52.3107317,13.2578627
517,Kreiskrankenhaus Prignitz gemeinnützige GmbH,Perleberg,Dobberziner Straße 112,19348,333,90,27,261200106,772034000,53.0739528,11.8735286
518,Universitätsklinikum Ruppin-Brandenburg,Neuruppin,Fehrbelliner Straße 38,16816,565,206,36,261200140,771991000,52.9061618,12.7971604
519,St. Josefs-Krankenhaus Potsdam-Sanssouci,Potsdam,Allee nach Sanssouci 7,14471,678,175,26,261200162,771342000,52.3994735,13.044298
520,Krankenhaus Märkisch Oderland GmbH,Strausberg,Prötzeler Chaussee 5,15344,232,72,31,261200219,771738000,52.5887367,13.9010345
521,"Klinikum Ernst von Bergmann gemeinnützige GmbH, Standort Potsdam",Potsdam,Charlottenstraße 72,14467,1589,450,28,261200220,772760000,52.4011829,13.0658244
522,Asklepios Klinikum Uckermark GmbH,Schwedt,Am Klinikum 1,16303,264,77,29,261200264,771340000,53.0532176,14.275758
523,Städtisches Krankenhaus Eisenhüttenstadt GmbH,Eisenhüttenstadt,Friedrich-Engels-Straße 39,15890,133,92,69,261200286,772454000,52.1412225,14.6249318
524,Immanuel Klinikum Bernau Herzzentrum Brandenburg,Bernau,Ladeburger Straße 17,16321,497,111,22,261200311,773116000,52.6832448,13.582028
525,GLG Werner Forßmann Klinikum Eberswalde GmbH,Eberswalde,Rudolf-Breitscheid-Straße 100,16225,664,191,29,261200322,771508000,52.8289123,13.7918402
526,Immanuel Klinik Rüdersdorf,Rüdersdorf,Seebad 82/83,15562,989,266,27,261200402,773115000,52.4546413,13.7728508
527,Oberhavel Kliniken GmbH / Klinik Oranienburg,Oranienburg,Robert-Koch-Straße 2-12,16515,736,213,29,261200435,771029000,52.739935,13.2526362
528,Oberhavel Kliniken GmbH / Klinik Hennigsdorf,Hennigsdorf,Marwitzer Straße 91,16761,Datenschutz,Datenschutz,Datenschutz,261200435,771030000,52.6557823,13.1913924
529,Universitätsklinikum Brandenburg an der Havel GmbH,Brandenburg an der Havel,Hochstraße 29,14770,997,285,29,261200457,772221000,52.4126014,12.5475217
530,"Havelland Kliniken GmbH, Klinik Nauen",Nauen,Ketziner Straße 21,14641,422,121,29,261200538,772643000,52.6007689,12.8758899
531,KMG Klinikum Luckenwalde,Luckenwalde,Saarstraße 1,14943,241,84,35,261200549,773341000,52.0997522,13.1793365
532,Carl-Thiem-Klinikum Cottbus gGmbH,Cottbus,Thiemstrasse 111,03048,971,363,37,261200721,773088000,51.7412386,14.3197683
533,Klinikum Niederlausitz GmbH,Senftenberg,Krankenhausstraße 10,01968,480,140,29,261200856,773389000,51.5275144,14.000257
534,Lausitz Klinik Forst GmbH,Forst,Robert-Koch-Straße 35,03149,348,111,32,261201027,772198000,51.7544519,14.6390585
535,Klinikum Frankfurt (Oder) GmbH,Frankfurt,Müllroser Chaussee 7,15236,697,280,40,261201061,771632000,52.3023409,14.4823242
536,Klinikum Frankfurt (Oder) GmbH Tagesklinik Frankfurt (Oder),Frankfurt,Heilbronner Straße 1,15230,Datenschutz,Datenschutz,Datenschutz,261201061,771633000,52.3424681,14.5435709
537,Sana Krankenhaus Templin,Templin,Robert-Koch-Straße 24,17268,102,28,27,261201221,772401000,53.119292,13.5056686
538,Elbe-Elster Klinikum GmbH Krankenhaus Herzberg,Herzberg,Alte Prettiner Straße 0,04916,397,83,21,261201312,772543000,51.6843295,13.2076866
539,HELIOS Klinikum Bad Saarow,Bad Saarow,Pieskower Straße 33,15526,627,221,35,261201356,771839000,52.2837363,14.0626258
540,Spreewaldklinik Lübben,Lübben,Schillerstrasse 29,15907,402,94,23,261201414,772820000,51.9437697,13.8736188
541,Achenbach Krankenhaus Königs Wusterhausen,Königs Wusterhausen,Köpenicker Strasse 29,15711,680,155,23,261201414,772821000,52.302681,13.6271259
542,MediClin Müritz-Klinikum,Waren,Weinbergstraße 19,17192,387,114,29,261300050,773471000,53.5223824,12.6859755
543,Klinikum Südstadt Rostock,Rostock,Südring 81,18059,2441,670,27,261300118,771003000,54.0717274,12.1066615
544,Westmecklenburg Klinikum Helene von Bülow,Hagenow,Parkstraße 12,19230,612,152,25,261300129,772800000,53.4343701,11.1819575
545,Kreiskrankenhaus Demmin GmbH,Demmin,Wollweberstraße 21,17109,447,208,47,261300130,772074000,53.9020516,13.0418846
546,Universitätsmedizin Greifswald - Körperschaft des öffentlichen Rechts,Greifswald,Fleischmannstraße 8,17475,965,364,38,261300152,773589000,54.0881837,13.4024372
547,Helios Kliniken Schwerin,Schwerin,Wismarsche Straße 393-397,19055,1155,366,32,261300185,772916000,53.6514219,11.4082224
548,KMG Klinikum Güstrow ,Güstrow,Friedrich-Trendelenburg-Allee 1,18273,683,195,29,261300276,772987000,53.8109937,12.2003523
549,Sana-Krankenhaus Rügen GmbH,Bergen auf Rügen,Calandstr. 7/8,18528,73,45,62,261300312,772096000,54.4196619,13.4289453
550,DRK-Krankenhaus Mecklenburg-Strelitz gGmbH,Neustrelitz,Penzliner Straße 56,17235,247,90,36,261300345,773039000,53.3802453,13.0525459
551,Sana HANSE-Klinikum Wismar GmbH,Wismar,Störtebekerstraße 6,23966,699,181,26,261300356,773325000,53.8844905,11.4384072
552,Helios Hanseklinikum Stralsund,Stralsund,Große Parower Straße 47-53,18435,796,299,38,261300367,771436000,54.3284098,13.0816926
553,AKG Klinik Parchim GmbH,Parchim,John-Brinckman-Straße 8-10,19370,206,60,29,261300675,773601000,53.4300054,11.8540303
554,Asklepios Klinik Pasewalk,Pasewalk,Prenzlauer Chaussee 30,17309,407,108,27,261300744,773369000,53.4893772,13.9856919
555,AMEOS Klinikum Ueckermünde,Ueckermünde,Ravensteinstraße 23,17373,Datenschutz,Datenschutz,Datenschutz,261300802,773374000,53.7413725,14.0195522
556,Anklam,Anklam,Hospitalstraße 19,17389,333,93,28,261300802,773375000,53.8485562,13.6990015
557,Dietrich-Bonhoeffer-Klinikum Standort Neubrandenburg,Neubrandenburg,Salvador-Allende-Straße 30,17036,793,250,32,261320010,772893000,53.5446722,13.2939278
558,St.Johannes Krankenhaus,Kamenz,Nebelschützer Straße 40,01917,406,88,22,261400017,772142000,51.2640966,14.1238952
559,Krankenhaus St. Joseph-Stift Dresden GmbH,Dresden,Wintergartenstraße 15/17,01307,1340,195,15,261400039,771043000,51.0439525,13.760638
560,Diakonissenkrankenhaus Dresden,Dresden,Holzhofgasse 29,01099,1089,178,16,261400040,771783000,51.063117,13.7614974
561,Pleißental-Klinik GmbH,Werdau,Ronneburger Straße 106,08412,626,156,25,261400051,772433000,50.7423485,12.3668469
562,Rudolf Virchow Klinikum Glauchau,Glauchau,Virchow Str. 18,08371,361,103,29,261400084,772880000,50.8096111,12.5509454
563,"Heinrich-Braun-Klinikum gemeinnützige GmbH, Standort Zwickau",Zwickau,Karl-Keil-Straße 35,08060,909,269,30,261400379,772365000,50.7225016,12.4311037
564,Klinikum Obergöltzsch Rodewisch,Rodewisch,Stiftstraße 10,08228,588,148,25,261400380,771157000,50.5231386,12.4108526
565,Deutsches Rotes Kreuz Krankenhaus Lichtenstein Gemeinnützige GmbH,Lichtenstein,Hartensteiner Straße 42,09350,236,50,21,261400426,771040000,50.748531,12.6353241
566,Klinikum St. Georg gGmbH,Leipzig,Delitzscher Straße 141,04129,1584,424,27,261400530,772884000,51.3840002,12.3810491
567,"Muldentalkliniken GmbH, Gemeinnützige Gesellschaft Standort Grimma",Grimma,Kleiststraße 5,04668,320,92,29,261400563,772622000,51.2374769,12.7186098
568,"Muldentalkliniken GmbH, Gemeinnützige Gesellschaft Standort Wurzen",Wurzen,Kutusowstraße 70,04808,342,109,32,261400563,772623000,51.3788364,12.7322729
569,Kreiskrankenhaus Weißwasser gGmbH,Weißwasser,Karl-Liebknecht-Str. 1,02943,81,31,38,261400610,772890000,51.5027422,14.6311049
570,Lausitzer Seenland Klinikum GmbH,Hoyerswerda,Maria-Grollmuß-Straße 10,02977,596,160,27,261400621,773221000,51.4420507,14.2724085
571,"ELBLANDKLINIKEN Stiftung & Co. KG, ELBLANDKLINIKUM Riesa",Riesa,Weinbergstraße 8,01589,468,111,24,261400687,771429000,51.2959917,13.3104542
572,Klinikum Oberlausitzer Bergland gemeinnützige GmbH,Zittau,Görlitzer Straße 8,02763,301,123,41,261400723,772442000,50.8992819,14.8197989
573,Klinikum Oberlausitzer Bergland gemeinnützige GmbH,Ebersbach-Neugersdorf,Röntgenstraße 23,02730,348,90,26,261400723,772443000,51.0049872,14.5694573
574,Erzgebirgsklinikum gGmbH - Haus Annaberg,Annaberg-Buchholz,Chemnitzer Straße 15,09456,416,118,28,261400790,771961000,50.592103,13.0067172
575,Erzgebirgsklinikum gGmbH Haus Zschopau,Zschopau,Alte Marienberger Str. 52,09405,372,90,24,261400814,772266000,50.7352235,13.0791184
576,Helios Klinikum Pirna,Pirna,Struppener Straße 13,01796,589,113,19,261400892,771818000,50.9583827,13.9540004
577,Städtisches Klinikum Dresden - Standort Neustadt/Trachau,Dresden,Industriestrasse 40,01129,1431,282,20,261400949,772841000,51.0909968,13.7097782
578,Kreiskrankenhaus Freiberg,Freiberg,Donatsring 20,09599,554,148,27,261400972,772957000,50.9206902,13.3516027
579,"Helios Weißeritztal Kliniken, Klinikum Freital",Freital,Bürgerstraße 7,01705,321,63,20,261401018,771986000,50.9917887,13.6452408
580,"Universitätsklinikum Carl Gustav Carus Dresden an der Technischen Universität Dresden, Anstalt des öffentlichen Rechts des Freistaates Sachsen",Dresden,Fetscherstraße 74,01307,2319,691,30,261401030,773444000,51.0565463,13.7825911
